旅游团介绍,旅游团名,小分类,小分类url,旅游团价格,旅游团网页
"
                                            新年美娜多特色盆菜宴，布纳肯海洋生态保护区下海浮潜拜访小丑鱼尼莫的家，火山花园餐厅用餐，前往Mahawu火山参观。                                        ",【春节】印尼美娜多 托莫洪区 MAHAWU火山双飞5天游【广州往返】,美娜多,http://www.jinmalvyou.com/search/index/keyword/%E7%BE%8E%E5%A8%9C%E5%A4%9A ,7099元,http://www.jinmalvyou.com/travel/show?good_id=38945
"
                                            前往Mahawu火山参观，火山花园餐厅用餐，布纳肯海洋生态保护区，下海浮潜拜访小丑鱼尼莫的家，新年美娜多特色盆菜宴！                                        ",【春节】印尼美娜多 托莫洪区 出海浮潜双飞6天游【广州往返】,美娜多,http://www.jinmalvyou.com/search/index/keyword/%E7%BE%8E%E5%A8%9C%E5%A4%9A ,7999元,http://www.jinmalvyou.com/travel/show?good_id=38944
"
                                            狮航广州往返+5晚潜店度假村                                        ",【经典布纳肯-Fun Dive 8潜】美娜多6天5晚·两天布纳肯  狮航广州往返+5晚潜店度假村【赠机场酒店接送机+行程用车】,美娜多,http://www.jinmalvyou.com/search/index/keyword/%E7%BE%8E%E5%A8%9C%E5%A4%9A ,5999元,http://www.jinmalvyou.com/travel/show?good_id=37252
"
                                            两天布纳肯  狮航广州往返+4晚潜店度假村+赠机场酒店接送机+行程用车                                        ",【经典布纳肯-Fun Dive 8潜 美娜多5天自由行套餐】两天布纳肯  狮航广州往返+4晚潜店度假村+赠机场酒店接送机+行程用车,美娜多,http://www.jinmalvyou.com/search/index/keyword/%E7%BE%8E%E5%A8%9C%E5%A4%9A ,5999元,http://www.jinmalvyou.com/travel/show?good_id=37246
"
                                            狮航广州往返机票+5晚高级酒店+当地机场至酒店接送                                        ",自由行·美娜多6天5晚（狮航广州往返机票+5晚高级酒店+当地机场至酒店接送）,美娜多,http://www.jinmalvyou.com/search/index/keyword/%E7%BE%8E%E5%A8%9C%E5%A4%9A ,4599元,http://www.jinmalvyou.com/travel/show?good_id=34697
"
                                            狮航*广州往返机票+5晚豪华酒店+当地机场至酒店接送                                        ",自由行·美娜多6天5晚（狮航*广州往返机票+5晚豪华酒店+当地机场至酒店接送）,美娜多,http://www.jinmalvyou.com/search/index/keyword/%E7%BE%8E%E5%A8%9C%E5%A4%9A ,5099元,http://www.jinmalvyou.com/travel/show?good_id=34693
"
                                            狮航*广州往返机票+4晚豪华酒店+当地机场至酒店接送                                        ",自由行·美娜多5天4晚（狮航*广州往返机票+4晚豪华酒店+当地机场至酒店接送）,美娜多,http://www.jinmalvyou.com/search/index/keyword/%E7%BE%8E%E5%A8%9C%E5%A4%9A ,5299元,http://www.jinmalvyou.com/travel/show?good_id=34691
"
                                            狮航*广州往返机票+4晚高级酒店+当地机场至酒店接送                                        ",自由行·美娜多5天4晚（狮航*广州往返机票+4晚高级酒店+当地机场至酒店接送）,美娜多,http://www.jinmalvyou.com/search/index/keyword/%E7%BE%8E%E5%A8%9C%E5%A4%9A ,4999元,http://www.jinmalvyou.com/travel/show?good_id=34690
"
                                            狮航广州往返机票+5晚豪华度假村酒店+酒店增值服务*当地机场至酒店接送                                        ",【自由行】美娜多6天5晚 （ 狮航广州往返机票+5晚豪华度假村酒店+酒店增值服务*当地机场至酒店接送）,美娜多,http://www.jinmalvyou.com/search/index/keyword/%E7%BE%8E%E5%A8%9C%E5%A4%9A ,5799元,http://www.jinmalvyou.com/travel/show?good_id=25215
"
                                            狮航*广州往返机票+4晚度假村酒店+酒店增值服务*当地机场至酒店往返接送                                        ",【自由行】 美娜多5天4晚【狮航广州往返机票+4晚度假村酒店+当地机场至酒店往返接送】,美娜多,http://www.jinmalvyou.com/search/index/keyword/%E7%BE%8E%E5%A8%9C%E5%A4%9A ,6299元,http://www.jinmalvyou.com/travel/show?good_id=25214
"
                                                                                    ",爆款【 越南岘港双飞5天】 山茶半岛 美溪沙滩 粉红大教堂 会安古城 （广州往返+正点航班）特价团,越南,http://www.jinmalvyou.com/search/index/keyword/%E8%B6%8A%E5%8D%97 ,1980元,http://www.jinmalvyou.com/travel/show?good_id=25133
"
                                            广州往返，直飞河内，特别安排欣赏——下龙南山剧院，舞动风情、最美下龙，品尝越式料理——地道越南烤乳猪、越式河粉，赠送下龙湾下午茶                                        ",爆款+1元送落地签【越南下龙湾双飞6天 直飞河内 深航广州往返】河内巴亭广场 独柱寺 胡志明故居 镇国寺 36古街 圣龙皇城 军事博物馆 特价团,越南,http://www.jinmalvyou.com/search/index/keyword/%E8%B6%8A%E5%8D%97 ,1199元,http://www.jinmalvyou.com/travel/show?good_id=39225
"
                                            特别安排特色三宝餐（越式春卷+越式法棍+越南米粉，越南首选的潜水胜地，足够让海底探险者乐此不疲，1天自由活动，行程更轻松！                                        ",爆款【￥2399/2人越南芽庄双飞4天】芽庄教堂 钟屿石岬角 婆那加占婆塔 （广州往返+四川航空）特价团,越南,http://www.jinmalvyou.com/search/index/keyword/%E8%B6%8A%E5%8D%97 ,2399元,http://www.jinmalvyou.com/travel/show?good_id=39154
"
                                                                                    ",爆款【￥3699/2人越南岘港双飞6天 广州往返】五行山 山茶半岛 海云岭 灵姑湾 美溪沙滩 粉红大教堂 迦南岛 会安古镇 特价团,越南,http://www.jinmalvyou.com/search/index/keyword/%E8%B6%8A%E5%8D%97 ,3699元,http://www.jinmalvyou.com/travel/show?good_id=40014
"
                                                                                    ",【￥3399/2人越南岘港双飞5天 广州往返】五行山 山茶半岛 海云岭 灵姑湾 美溪沙滩 粉红大教堂 丝绸湾 会安古镇 特价团,越南,http://www.jinmalvyou.com/search/index/keyword/%E8%B6%8A%E5%8D%97 ,3399元,http://www.jinmalvyou.com/travel/show?good_id=40015
